OID_,ID,hydr_prcnt,drai_prcnt,bedr_prcnt,dens_prcnt,ston_prcnt,TreeMortal
27475,28037,1,0,0,100,1,3
27488,28050,0,0,3,0,3,4
27542,28104,25,0,0,100,25,5
27583,28145,0,0,100,0,9,1
27709,28273,6,0,0,94,89,4
27861,28428,57,0,0,100,58,1
27896,28463,0,0,100,0,0,3
27941,28508,21,0,79,21,21,3
27985,28552,0,0,0,100,0,4
27987,28554,0,0,100,0,0,1
27999,28566,0,0,0,100,0,4
28060,28627,0,0,0,0,0,3
28089,28657,3,0,0,97,26,6
28111,28679,0,0,0,0,0,5
28279,28849,22,0,0,93,22,1
28311,28881,0,0,56,0,0,1
28398,28969,0,0,100,0,100,3
28407,28979,0,0,0,0,0,5
28483,29056,29,0,0,100,30,4
28523,29096,17,0,0,17,17,3
28536,29109,4,0,0,100,3,1
28545,29118,1,0,99,1,1,3
28595,29172,31,0,0,31,31,2
28699,29276,0,0,0,100,0,2
28703,29280,11,0,89,11,11,5
28717,29294,2,0,98,2,67,4
28726,29304,18,0,0,18,18,2
28748,29326,0,0,0,100,0,1
28858,29438,0,0,0,5,0,4
28934,29514,0,0,0,0,94,2
28961,29541,0,0,0,100,0,2
29001,29582,0,0,0,100,60,4
29004,29585,0,0,100,0,94,4
29020,29601,26,0,0,100,26,1
29134,29715,16,0,0,100,17,2
29191,29774,0,0,0,100,0,4
29249,29832,8,0,29,8,44,4
29303,29886,20,0,0,100,20,3
29329,29912,0,0,100,0,0,3
29889,30474,0,0,100,0,71,1
29934,30520,18,83,0,0,0,1
30148,30736,17,0,0,100,16,1
30397,30986,56,0,0,64,56,1
30405,30994,0,0,0,0,0,2
30458,31048,10,0,90,1,1,4
30532,31123,7,0,93,7,7,1
30645,31236,0,0,100,0,0,2
30791,31383,0,0,0,0,0,4
30886,31480,5,0,96,4,4,1
30948,31542,45,0,38,45,45,2
30980,31575,36,0,28,37,68,1
30999,31594,0,0,100,0,0,3
31067,31662,0,100,0,0,0,4
31069,31664,26,0,0,100,25,3
31134,31730,0,0,31,0,31,1
31177,31773,86,0,0,98,86,3
31227,31824,46,0,0,45,100,1
31325,31923,32,0,68,32,86,2
31377,31976,0,0,0,100,28,2
31604,32204,0,0,0,0,0,5
31703,32303,11,0,0,0,0,2
31765,32365,0,0,100,0,100,1
31776,32376,0,0,22,78,0,4
31840,32440,5,0,0,100,5,2
31862,32462,0,0,100,0,61,1
31931,32531,0,100,0,0,0,3
32223,32825,0,0,88,0,0,1
32226,32828,0,84,16,0,0,1
32252,32854,0,0,0,0,0,2
32285,32887,35,0,0,34,34,1
32293,32895,27,74,0,26,26,2
32443,33047,3,0,97,3,85,2
32479,33083,47,0,54,46,46,4
32485,33089,29,0,0,29,29,2
32502,33106,0,0,100,0,0,1
32577,33181,0,0,0,0,52,2
32590,33194,0,0,0,100,0,3
32613,33217,42,0,59,41,41,5
32687,33292,0,0,0,0,0,4
32710,33316,3,0,0,100,3,4
32742,33350,0,0,19,0,81,2
32899,33507,0,0,0,100,0,5
32907,33515,3,0,31,69,3,4
32924,33532,32,2,0,0,0,2
33085,33693,0,0,28,5,0,4
33133,33742,0,100,0,0,0,2
33177,33786,0,0,100,0,0,4
33183,33792,86,0,0,100,86,2
33184,33793,0,0,100,0,8,3
33278,33887,43,0,48,43,52,3
33408,34018,0,0,0,100,0,1
33449,34059,30,0,70,30,93,4
33471,34081,0,0,0,100,0,4
33497,34107,0,0,0,0,0,5
33704,34314,44,0,0,100,44,3
33712,34322,48,0,0,47,47,2
33727,34337,0,0,100,0,100,1
33749,34359,0,0,100,0,43,1
33768,34379,0,0,0,100,0,2
33814,34425,0,0,0,0,0,5
33955,34566,0,0,0,0,9,2
33992,34603,0,0,0,0,0,2
33998,34609,18,51,0,30,0,3
